method_i,method_j,metric,value
PanX,Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9131393576902228
PanX,Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9885214171595206
PanX,Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9902840244102281
PanX,Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9751966904265038
PanX,Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9790821843676313
Sketch - UMAP* (AA) *,CD-HIT (AA),V-measure between methods (adim.),0.9443915654699316
Sketch - UMAP* (AA) *,CD-HIT (NT),V-measure between methods (adim.),0.9433710900141661
Sketch - UMAP* (AA) *,MMseqs2 (AA),V-measure between methods (adim.),0.9484861600942276
Sketch - UMAP* (AA) *,MMseqs2 (NT),V-measure between methods (adim.),0.9482614374437389
Sketch - UMAP* (AA) *,Diamond (AA),V-measure between methods (adim.),0.9434557951561882
Sketch - UMAP* (AA) *,Panaroo,V-measure between methods (adim.),0.9436583909585335
Sketch - UMAP* (AA) *,Ppanggolin,V-measure between methods (adim.),0.9457733028428681
Sketch - UMAP* (AA) *,Panta,V-measure between methods (adim.),0.9468259972748402
Sketch - UMAP* (AA) *,PanX,V-measure between methods (adim.),0.943211075809743
Sketch - UMAP* (AA) *,Sketch - UMAP* (AA) *,V-measure between methods (adim.),1.0
Sketch - UMAP* (AA) *,Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9076504798566787
Sketch - UMAP* (AA) *,Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9481498055496345
Sketch - UMAP* (AA) *,Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.948196316381277
Sketch - UMAP* (AA) *,Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9430501402607395
Sketch - UMAP* (AA) *,Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9439482316890384
Sketch - UMAP* (NT) *,CD-HIT (AA),V-measure between methods (adim.),0.9146011755249618
Sketch - UMAP* (NT) *,CD-HIT (NT),V-measure between methods (adim.),0.9137934661842415
Sketch - UMAP* (NT) *,MMseqs2 (AA),V-measure between methods (adim.),0.9191316400066929
Sketch - UMAP* (NT) *,MMseqs2 (NT),V-measure between methods (adim.),0.9191194008925452
Sketch - UMAP* (NT) *,Diamond (AA),V-measure between methods (adim.),0.9135856764001647
Sketch - UMAP* (NT) *,Panaroo,V-measure between methods (adim.),0.9134382405955725
Sketch - UMAP* (NT) *,Ppanggolin,V-measure between methods (adim.),0.9156677866989574
Sketch - UMAP* (NT) *,Panta,V-measure between methods (adim.),0.917656519605988
Sketch - UMAP* (NT) *,PanX,V-measure between methods (adim.),0.9131393576902228
Sketch - UMAP* (NT) *,Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9076504798566787
Sketch - UMAP* (NT) *,Sketch - UMAP* (NT) *,V-measure between methods (adim.),1.0
Sketch - UMAP* (NT) *,Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9213838544083882
Sketch - UMAP* (NT) *,Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9203107751602869
Sketch - UMAP* (NT) *,Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9266582100023336
Sketch - UMAP* (NT) *,Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9268639210279371
Connected components t=0.6* (AA) *,CD-HIT (AA),V-measure between methods (adim.),0.9899546642750985
Connected components t=0.6* (AA) *,CD-HIT (NT),V-measure between methods (adim.),0.9885879006213437
Connected components t=0.6* (AA) *,MMseqs2 (AA),V-measure between methods (adim.),0.9948643359311555
Connected components t=0.6* (AA) *,MMseqs2 (NT),V-measure between methods (adim.),0.994353152806149
Connected components t=0.6* (AA) *,Diamond (AA),V-measure between methods (adim.),0.9889351675733817
Connected components t=0.6* (AA) *,Panaroo,V-measure between methods (adim.),0.9879356652631809
Connected components t=0.6* (AA) *,Ppanggolin,V-measure between methods (adim.),0.9915326137661912
Connected components t=0.6* (AA) *,Panta,V-measure between methods (adim.),0.9931586913643654
Connected components t=0.6* (AA) *,PanX,V-measure between methods (adim.),0.9885214171595206
Connected components t=0.6* (AA) *,Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9481498055496345
Connected components t=0.6* (AA) *,Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9213838544083882
Connected components t=0.6* (AA) *,Connected components t=0.6* (AA) *,V-measure between methods (adim.),1.0
Connected components t=0.6* (AA) *,Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9979841497613272
Connected components t=0.6* (AA) *,Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9856758382960639
Connected components t=0.6* (AA) *,Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9886500372216018
Connected components t=0.7* (AA) *,CD-HIT (AA),V-measure between methods (adim.),0.9911867123142855
Connected components t=0.7* (AA) *,CD-HIT (NT),V-measure between methods (adim.),0.989878984642826
Connected components t=0.7* (AA) *,MMseqs2 (AA),V-measure between methods (adim.),0.9952073915271058
Connected components t=0.7* (AA) *,MMseqs2 (NT),V-measure between methods (adim.),0.9946891200563661
Connected components t=0.7* (AA) *,Diamond (AA),V-measure between methods (adim.),0.9903899980241845
Connected components t=0.7* (AA) *,Panaroo,V-measure between methods (adim.),0.9894056125946517
Connected components t=0.7* (AA) *,Ppanggolin,V-measure between methods (adim.),0.9927504524547772
Connected components t=0.7* (AA) *,Panta,V-measure between methods (adim.),0.9940214706927071
Connected components t=0.7* (AA) *,PanX,V-measure between methods (adim.),0.9902840244102281
Connected components t=0.7* (AA) *,Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.948196316381277
Connected components t=0.7* (AA) *,Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9203107751602869
Connected components t=0.7* (AA) *,Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9979841497613272
Connected components t=0.7* (AA) *,Connected components t=0.7* (AA) *,V-measure between methods (adim.),1.0
Connected components t=0.7* (AA) *,Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9840610773774306
Connected components t=0.7* (AA) *,Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9875691043852182
Connected components t=0.6* (NT) *,CD-HIT (AA),V-measure between methods (adim.),0.9777382353332474
Connected components t=0.6* (NT) *,CD-HIT (NT),V-measure between methods (adim.),0.976544532200815
Connected components t=0.6* (NT) *,MMseqs2 (AA),V-measure between methods (adim.),0.9829787566538195
Connected components t=0.6* (NT) *,MMseqs2 (NT),V-measure between methods (adim.),0.9828619190584049
Connected components t=0.6* (NT) *,Diamond (AA),V-measure between methods (adim.),0.9763918870541309
Connected components t=0.6* (NT) *,Panaroo,V-measure between methods (adim.),0.9755135487713196
Connected components t=0.6* (NT) *,Ppanggolin,V-measure between methods (adim.),0.9783232498155137
Connected components t=0.6* (NT) *,Panta,V-measure between methods (adim.),0.9814972887781
Connected components t=0.6* (NT) *,PanX,V-measure between methods (adim.),0.9751966904265038
Connected components t=0.6* (NT) *,Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9430501402607395
Connected components t=0.6* (NT) *,Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9266582100023336
Connected components t=0.6* (NT) *,Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9856758382960639
Connected components t=0.6* (NT) *,Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9840610773774306
Connected components t=0.6* (NT) *,Connected components t=0.6* (NT) *,V-measure between methods (adim.),1.0
Connected components t=0.6* (NT) *,Connected components t=0.7* (NT) *,V-measure between methods (adim.),0.9960357340706596
Connected components t=0.7* (NT) *,CD-HIT (AA),V-measure between methods (adim.),0.9810506228145273
Connected components t=0.7* (NT) *,CD-HIT (NT),V-measure between methods (adim.),0.9801056788536747
Connected components t=0.7* (NT) *,MMseqs2 (AA),V-measure between methods (adim.),0.9854646602648095
Connected components t=0.7* (NT) *,MMseqs2 (NT),V-measure between methods (adim.),0.9854442959968962
Connected components t=0.7* (NT) *,Diamond (AA),V-measure between methods (adim.),0.9799569018433141
Connected components t=0.7* (NT) *,Panaroo,V-measure between methods (adim.),0.9791643502552622
Connected components t=0.7* (NT) *,Ppanggolin,V-measure between methods (adim.),0.98181019799333
Connected components t=0.7* (NT) *,Panta,V-measure between methods (adim.),0.9847295924202708
Connected components t=0.7* (NT) *,PanX,V-measure between methods (adim.),0.9790821843676313
Connected components t=0.7* (NT) *,Sketch - UMAP* (AA) *,V-measure between methods (adim.),0.9439482316890384
Connected components t=0.7* (NT) *,Sketch - UMAP* (NT) *,V-measure between methods (adim.),0.9268639210279371
Connected components t=0.7* (NT) *,Connected components t=0.6* (AA) *,V-measure between methods (adim.),0.9886500372216018
Connected components t=0.7* (NT) *,Connected components t=0.7* (AA) *,V-measure between methods (adim.),0.9875691043852182
Connected components t=0.7* (NT) *,Connected components t=0.6* (NT) *,V-measure between methods (adim.),0.9960357340706596
Connected components t=0.7* (NT) *,Connected components t=0.7* (NT) *,V-measure between methods (adim.),1.0
