method_i,method_j,metric,value
Connected components t=0.7* (AA) *,Panaroo,Adjusted mutual information between methods (adim.),0.9772941777085103
Connected components t=0.7* (AA) *,Ppanggolin,Adjusted mutual information between methods (adim.),0.9841868306252406
Connected components t=0.7* (AA) *,Panta,Adjusted mutual information between methods (adim.),0.9868090142968914
Connected components t=0.7* (AA) *,PanX,Adjusted mutual information between methods (adim.),0.9790513270856159
Connected components t=0.7* (AA) *,Sketch - UMAP* (AA) *,Adjusted mutual information between methods (adim.),0.8820515544972694
Connected components t=0.7* (AA) *,Sketch - UMAP* (NT) *,Adjusted mutual information between methods (adim.),0.8131289940929719
Connected components t=0.7* (AA) *,Connected components t=0.6* (AA) *,Adjusted mutual information between methods (adim.),0.9955030121378015
Connected components t=0.7* (AA) *,Connected components t=0.7* (AA) *,Adjusted mutual information between methods (adim.),1.0
Connected components t=0.7* (AA) *,Connected components t=0.6* (NT) *,Adjusted mutual information between methods (adim.),0.9628207528984649
Connected components t=0.7* (AA) *,Connected components t=0.7* (NT) *,Adjusted mutual information between methods (adim.),0.9713844174280748
Connected components t=0.6* (NT) *,CD-HIT (AA),Adjusted mutual information between methods (adim.),0.9488349880291094
Connected components t=0.6* (NT) *,CD-HIT (NT),Adjusted mutual information between methods (adim.),0.946392422660904
Connected components t=0.6* (NT) *,MMseqs2 (AA),Adjusted mutual information between methods (adim.),0.9601515782355242
Connected components t=0.6* (NT) *,MMseqs2 (NT),Adjusted mutual information between methods (adim.),0.9599053034693924
Connected components t=0.6* (NT) *,Diamond (AA),Adjusted mutual information between methods (adim.),0.9459746705915899
Connected components t=0.6* (NT) *,Panaroo,Adjusted mutual information between methods (adim.),0.9448518922004636
Connected components t=0.6* (NT) *,Ppanggolin,Adjusted mutual information between methods (adim.),0.9502567595143605
Connected components t=0.6* (NT) *,Panta,Adjusted mutual information between methods (adim.),0.9570344496220574
Connected components t=0.6* (NT) *,PanX,Adjusted mutual information between methods (adim.),0.9437526251455708
Connected components t=0.6* (NT) *,Sketch - UMAP* (AA) *,Adjusted mutual information between methods (adim.),0.8634600743777424
Connected components t=0.6* (NT) *,Sketch - UMAP* (NT) *,Adjusted mutual information between methods (adim.),0.8187797801155217
Connected components t=0.6* (NT) *,Connected components t=0.6* (AA) *,Adjusted mutual information between methods (adim.),0.9663667865500233
Connected components t=0.6* (NT) *,Connected components t=0.7* (AA) *,Adjusted mutual information between methods (adim.),0.9628207528984649
Connected components t=0.6* (NT) *,Connected components t=0.6* (NT) *,Adjusted mutual information between methods (adim.),1.0
Connected components t=0.6* (NT) *,Connected components t=0.7* (NT) *,Adjusted mutual information between methods (adim.),0.990388454787453
Connected components t=0.7* (NT) *,CD-HIT (AA),Adjusted mutual information between methods (adim.),0.9570164905342066
Connected components t=0.7* (NT) *,CD-HIT (NT),Adjusted mutual information between methods (adim.),0.955123593464594
Connected components t=0.7* (NT) *,MMseqs2 (AA),Adjusted mutual information between methods (adim.),0.9664189339063696
Connected components t=0.7* (NT) *,MMseqs2 (NT),Adjusted mutual information between methods (adim.),0.9663946069205823
Connected components t=0.7* (NT) *,Diamond (AA),Adjusted mutual information between methods (adim.),0.9547305868207058
Connected components t=0.7* (NT) *,Panaroo,Adjusted mutual information between methods (adim.),0.9536699754563929
Connected components t=0.7* (NT) *,Ppanggolin,Adjusted mutual information between methods (adim.),0.9588030708340312
Connected components t=0.7* (NT) *,Panta,Adjusted mutual information between methods (adim.),0.9650033771030221
Connected components t=0.7* (NT) *,PanX,Adjusted mutual information between methods (adim.),0.9531798436896881
Connected components t=0.7* (NT) *,Sketch - UMAP* (AA) *,Adjusted mutual information between methods (adim.),0.86739918286357
Connected components t=0.7* (NT) *,Sketch - UMAP* (NT) *,Adjusted mutual information between methods (adim.),0.8217198822325513
Connected components t=0.7* (NT) *,Connected components t=0.6* (AA) *,Adjusted mutual information between methods (adim.),0.9737011704483859
Connected components t=0.7* (NT) *,Connected components t=0.7* (AA) *,Adjusted mutual information between methods (adim.),0.9713844174280748
Connected components t=0.7* (NT) *,Connected components t=0.6* (NT) *,Adjusted mutual information between methods (adim.),0.990388454787453
Connected components t=0.7* (NT) *,Connected components t=0.7* (NT) *,Adjusted mutual information between methods (adim.),1.0
