method,combo,cluster_rank,strains_in_cluster,total_strains
CD-HIT (AA),cdhit/aa,81,50,50
CD-HIT (AA),cdhit/aa,82,50,50
CD-HIT (AA),cdhit/aa,83,50,50
CD-HIT (AA),cdhit/aa,84,50,50
CD-HIT (AA),cdhit/aa,85,50,50
CD-HIT (AA),cdhit/aa,86,50,50
CD-HIT (AA),cdhit/aa,87,50,50
CD-HIT (AA),cdhit/aa,88,50,50
CD-HIT (AA),cdhit/aa,89,50,50
CD-HIT (AA),cdhit/aa,90,50,50
CD-HIT (AA),cdhit/aa,91,50,50
CD-HIT (AA),cdhit/aa,92,50,50
CD-HIT (AA),cdhit/aa,93,50,50
CD-HIT (AA),cdhit/aa,94,50,50
CD-HIT (AA),cdhit/aa,95,50,50
CD-HIT (AA),cdhit/aa,96,50,50
CD-HIT (AA),cdhit/aa,97,50,50
CD-HIT (AA),cdhit/aa,98,50,50
CD-HIT (AA),cdhit/aa,99,50,50
CD-HIT (AA),cdhit/aa,100,50,50
CD-HIT (AA),cdhit/aa,101,50,50
CD-HIT (AA),cdhit/aa,102,50,50
CD-HIT (AA),cdhit/aa,103,50,50
CD-HIT (AA),cdhit/aa,104,50,50
CD-HIT (AA),cdhit/aa,105,50,50
CD-HIT (AA),cdhit/aa,106,50,50
CD-HIT (AA),cdhit/aa,107,50,50
CD-HIT (AA),cdhit/aa,108,50,50
CD-HIT (AA),cdhit/aa,109,50,50
CD-HIT (AA),cdhit/aa,110,50,50
CD-HIT (AA),cdhit/aa,111,50,50
CD-HIT (AA),cdhit/aa,112,50,50
CD-HIT (AA),cdhit/aa,113,50,50
CD-HIT (AA),cdhit/aa,114,50,50
CD-HIT (AA),cdhit/aa,115,50,50
CD-HIT (AA),cdhit/aa,116,50,50
CD-HIT (AA),cdhit/aa,117,50,50
CD-HIT (AA),cdhit/aa,118,50,50
CD-HIT (AA),cdhit/aa,119,50,50
CD-HIT (AA),cdhit/aa,120,50,50
CD-HIT (AA),cdhit/aa,121,50,50
CD-HIT (AA),cdhit/aa,122,50,50
CD-HIT (AA),cdhit/aa,123,50,50
CD-HIT (AA),cdhit/aa,124,50,50
CD-HIT (AA),cdhit/aa,125,50,50
CD-HIT (AA),cdhit/aa,126,50,50
CD-HIT (AA),cdhit/aa,127,50,50
CD-HIT (AA),cdhit/aa,128,50,50
CD-HIT (AA),cdhit/aa,129,50,50
CD-HIT (AA),cdhit/aa,130,50,50
CD-HIT (AA),cdhit/aa,131,50,50
CD-HIT (AA),cdhit/aa,132,50,50
CD-HIT (AA),cdhit/aa,133,50,50
CD-HIT (AA),cdhit/aa,134,50,50
CD-HIT (AA),cdhit/aa,135,50,50
CD-HIT (AA),cdhit/aa,136,50,50
CD-HIT (AA),cdhit/aa,137,50,50
CD-HIT (AA),cdhit/aa,138,50,50
CD-HIT (AA),cdhit/aa,139,50,50
CD-HIT (AA),cdhit/aa,140,50,50
CD-HIT (AA),cdhit/aa,141,50,50
CD-HIT (AA),cdhit/aa,142,50,50
CD-HIT (AA),cdhit/aa,143,50,50
CD-HIT (AA),cdhit/aa,144,50,50
CD-HIT (AA),cdhit/aa,145,50,50
CD-HIT (AA),cdhit/aa,146,50,50
CD-HIT (AA),cdhit/aa,147,50,50
CD-HIT (AA),cdhit/aa,148,50,50
CD-HIT (AA),cdhit/aa,149,50,50
CD-HIT (AA),cdhit/aa,150,50,50
CD-HIT (AA),cdhit/aa,151,50,50
CD-HIT (AA),cdhit/aa,152,50,50
CD-HIT (AA),cdhit/aa,153,50,50
CD-HIT (AA),cdhit/aa,154,50,50
CD-HIT (AA),cdhit/aa,155,50,50
CD-HIT (AA),cdhit/aa,156,50,50
CD-HIT (AA),cdhit/aa,157,50,50
CD-HIT (AA),cdhit/aa,158,50,50
CD-HIT (AA),cdhit/aa,159,50,50
CD-HIT (AA),cdhit/aa,160,50,50
CD-HIT (AA),cdhit/aa,161,50,50
CD-HIT (AA),cdhit/aa,162,50,50
CD-HIT (AA),cdhit/aa,163,50,50
CD-HIT (AA),cdhit/aa,164,50,50
CD-HIT (AA),cdhit/aa,165,50,50
CD-HIT (AA),cdhit/aa,166,50,50
CD-HIT (AA),cdhit/aa,167,50,50
CD-HIT (AA),cdhit/aa,168,50,50
CD-HIT (AA),cdhit/aa,169,50,50
CD-HIT (AA),cdhit/aa,170,50,50
CD-HIT (AA),cdhit/aa,171,50,50
CD-HIT (AA),cdhit/aa,172,50,50
CD-HIT (AA),cdhit/aa,173,50,50
CD-HIT (AA),cdhit/aa,174,50,50
CD-HIT (AA),cdhit/aa,175,50,50
CD-HIT (AA),cdhit/aa,176,50,50
CD-HIT (AA),cdhit/aa,177,50,50
CD-HIT (AA),cdhit/aa,178,50,50
CD-HIT (AA),cdhit/aa,179,50,50
CD-HIT (AA),cdhit/aa,180,50,50
CD-HIT (AA),cdhit/aa,181,50,50
CD-HIT (AA),cdhit/aa,182,50,50
CD-HIT (AA),cdhit/aa,183,50,50
CD-HIT (AA),cdhit/aa,184,50,50
CD-HIT (AA),cdhit/aa,185,50,50
CD-HIT (AA),cdhit/aa,186,50,50
CD-HIT (AA),cdhit/aa,187,50,50
CD-HIT (AA),cdhit/aa,188,50,50
CD-HIT (AA),cdhit/aa,189,50,50
CD-HIT (AA),cdhit/aa,190,50,50
CD-HIT (AA),cdhit/aa,191,50,50
CD-HIT (AA),cdhit/aa,192,50,50
CD-HIT (AA),cdhit/aa,193,50,50
CD-HIT (AA),cdhit/aa,194,50,50
CD-HIT (AA),cdhit/aa,195,50,50
CD-HIT (AA),cdhit/aa,196,50,50
CD-HIT (AA),cdhit/aa,197,50,50
CD-HIT (AA),cdhit/aa,198,50,50
CD-HIT (AA),cdhit/aa,199,50,50
CD-HIT (AA),cdhit/aa,200,50,50
CD-HIT (AA),cdhit/aa,201,50,50
CD-HIT (AA),cdhit/aa,202,50,50
CD-HIT (AA),cdhit/aa,203,50,50
CD-HIT (AA),cdhit/aa,204,50,50
CD-HIT (AA),cdhit/aa,205,50,50
CD-HIT (AA),cdhit/aa,206,50,50
CD-HIT (AA),cdhit/aa,207,50,50
CD-HIT (AA),cdhit/aa,208,50,50
CD-HIT (AA),cdhit/aa,209,50,50
CD-HIT (AA),cdhit/aa,210,50,50
CD-HIT (AA),cdhit/aa,211,50,50
CD-HIT (AA),cdhit/aa,212,50,50
CD-HIT (AA),cdhit/aa,213,50,50
CD-HIT (AA),cdhit/aa,214,50,50
CD-HIT (AA),cdhit/aa,215,50,50
CD-HIT (AA),cdhit/aa,216,50,50
CD-HIT (AA),cdhit/aa,217,50,50
CD-HIT (AA),cdhit/aa,218,50,50
CD-HIT (AA),cdhit/aa,219,50,50
CD-HIT (AA),cdhit/aa,220,50,50
CD-HIT (AA),cdhit/aa,221,50,50
CD-HIT (AA),cdhit/aa,222,50,50
CD-HIT (AA),cdhit/aa,223,50,50
CD-HIT (AA),cdhit/aa,224,50,50
CD-HIT (AA),cdhit/aa,225,50,50
CD-HIT (AA),cdhit/aa,226,50,50
CD-HIT (AA),cdhit/aa,227,50,50
CD-HIT (AA),cdhit/aa,228,50,50
CD-HIT (AA),cdhit/aa,229,50,50
CD-HIT (AA),cdhit/aa,230,50,50
CD-HIT (AA),cdhit/aa,231,50,50
CD-HIT (AA),cdhit/aa,232,50,50
CD-HIT (AA),cdhit/aa,233,50,50
CD-HIT (AA),cdhit/aa,234,50,50
CD-HIT (AA),cdhit/aa,235,50,50
CD-HIT (AA),cdhit/aa,236,50,50
CD-HIT (AA),cdhit/aa,237,50,50
CD-HIT (AA),cdhit/aa,238,50,50
CD-HIT (AA),cdhit/aa,239,50,50
CD-HIT (AA),cdhit/aa,240,50,50
CD-HIT (AA),cdhit/aa,241,50,50
CD-HIT (AA),cdhit/aa,242,50,50
CD-HIT (AA),cdhit/aa,243,50,50
CD-HIT (AA),cdhit/aa,244,50,50
CD-HIT (AA),cdhit/aa,245,50,50
CD-HIT (AA),cdhit/aa,246,50,50
CD-HIT (AA),cdhit/aa,247,50,50
CD-HIT (AA),cdhit/aa,248,50,50
CD-HIT (AA),cdhit/aa,249,50,50
CD-HIT (AA),cdhit/aa,250,50,50
CD-HIT (AA),cdhit/aa,251,50,50
CD-HIT (AA),cdhit/aa,252,50,50
CD-HIT (AA),cdhit/aa,253,50,50
CD-HIT (AA),cdhit/aa,254,50,50
CD-HIT (AA),cdhit/aa,255,50,50
CD-HIT (AA),cdhit/aa,256,50,50
CD-HIT (AA),cdhit/aa,257,50,50
CD-HIT (AA),cdhit/aa,258,50,50
CD-HIT (AA),cdhit/aa,259,50,50
CD-HIT (AA),cdhit/aa,260,50,50
CD-HIT (AA),cdhit/aa,261,50,50
CD-HIT (AA),cdhit/aa,262,50,50
CD-HIT (AA),cdhit/aa,263,50,50
CD-HIT (AA),cdhit/aa,264,50,50
CD-HIT (AA),cdhit/aa,265,50,50
CD-HIT (AA),cdhit/aa,266,50,50
CD-HIT (AA),cdhit/aa,267,50,50
CD-HIT (AA),cdhit/aa,268,50,50
CD-HIT (AA),cdhit/aa,269,50,50
CD-HIT (AA),cdhit/aa,270,50,50
CD-HIT (AA),cdhit/aa,271,50,50
CD-HIT (AA),cdhit/aa,272,50,50
CD-HIT (AA),cdhit/aa,273,50,50
CD-HIT (AA),cdhit/aa,274,50,50
CD-HIT (AA),cdhit/aa,275,50,50
CD-HIT (AA),cdhit/aa,276,50,50
CD-HIT (AA),cdhit/aa,277,50,50
CD-HIT (AA),cdhit/aa,278,50,50
CD-HIT (AA),cdhit/aa,279,50,50
CD-HIT (AA),cdhit/aa,280,50,50
CD-HIT (AA),cdhit/aa,281,50,50
CD-HIT (AA),cdhit/aa,282,50,50
CD-HIT (AA),cdhit/aa,283,50,50
CD-HIT (AA),cdhit/aa,284,50,50
CD-HIT (AA),cdhit/aa,285,50,50
CD-HIT (AA),cdhit/aa,286,50,50
CD-HIT (AA),cdhit/aa,287,50,50
CD-HIT (AA),cdhit/aa,288,50,50
CD-HIT (AA),cdhit/aa,289,50,50
CD-HIT (AA),cdhit/aa,290,50,50
CD-HIT (AA),cdhit/aa,291,50,50
CD-HIT (AA),cdhit/aa,292,50,50
CD-HIT (AA),cdhit/aa,293,50,50
CD-HIT (AA),cdhit/aa,294,50,50
CD-HIT (AA),cdhit/aa,295,50,50
CD-HIT (AA),cdhit/aa,296,50,50
CD-HIT (AA),cdhit/aa,297,50,50
CD-HIT (AA),cdhit/aa,298,50,50
CD-HIT (AA),cdhit/aa,299,50,50
CD-HIT (AA),cdhit/aa,300,50,50
CD-HIT (AA),cdhit/aa,301,50,50
CD-HIT (AA),cdhit/aa,302,50,50
CD-HIT (AA),cdhit/aa,303,50,50
CD-HIT (AA),cdhit/aa,304,50,50
CD-HIT (AA),cdhit/aa,305,50,50
CD-HIT (AA),cdhit/aa,306,50,50
CD-HIT (AA),cdhit/aa,307,50,50
CD-HIT (AA),cdhit/aa,308,50,50
CD-HIT (AA),cdhit/aa,309,50,50
CD-HIT (AA),cdhit/aa,310,50,50
CD-HIT (AA),cdhit/aa,311,50,50
CD-HIT (AA),cdhit/aa,312,50,50
CD-HIT (AA),cdhit/aa,313,50,50
CD-HIT (AA),cdhit/aa,314,50,50
CD-HIT (AA),cdhit/aa,315,50,50
CD-HIT (AA),cdhit/aa,316,50,50
CD-HIT (AA),cdhit/aa,317,50,50
CD-HIT (AA),cdhit/aa,318,50,50
CD-HIT (AA),cdhit/aa,319,50,50
CD-HIT (AA),cdhit/aa,320,50,50
CD-HIT (AA),cdhit/aa,321,50,50
CD-HIT (AA),cdhit/aa,322,50,50
CD-HIT (AA),cdhit/aa,323,50,50
CD-HIT (AA),cdhit/aa,324,50,50
CD-HIT (AA),cdhit/aa,325,50,50
CD-HIT (AA),cdhit/aa,326,50,50
CD-HIT (AA),cdhit/aa,327,50,50
CD-HIT (AA),cdhit/aa,328,50,50
CD-HIT (AA),cdhit/aa,329,50,50
CD-HIT (AA),cdhit/aa,330,50,50
CD-HIT (AA),cdhit/aa,331,50,50
CD-HIT (AA),cdhit/aa,332,50,50
CD-HIT (AA),cdhit/aa,333,50,50
CD-HIT (AA),cdhit/aa,334,50,50
CD-HIT (AA),cdhit/aa,335,50,50
CD-HIT (AA),cdhit/aa,336,50,50
CD-HIT (AA),cdhit/aa,337,50,50
CD-HIT (AA),cdhit/aa,338,50,50
CD-HIT (AA),cdhit/aa,339,50,50
CD-HIT (AA),cdhit/aa,340,50,50
CD-HIT (AA),cdhit/aa,341,50,50
CD-HIT (AA),cdhit/aa,342,50,50
CD-HIT (AA),cdhit/aa,343,50,50
CD-HIT (AA),cdhit/aa,344,50,50
CD-HIT (AA),cdhit/aa,345,50,50
CD-HIT (AA),cdhit/aa,346,50,50
CD-HIT (AA),cdhit/aa,347,50,50
CD-HIT (AA),cdhit/aa,348,50,50
CD-HIT (AA),cdhit/aa,349,50,50
CD-HIT (AA),cdhit/aa,350,50,50
CD-HIT (AA),cdhit/aa,351,50,50
CD-HIT (AA),cdhit/aa,352,50,50
CD-HIT (AA),cdhit/aa,353,50,50
CD-HIT (AA),cdhit/aa,354,50,50
CD-HIT (AA),cdhit/aa,355,50,50
CD-HIT (AA),cdhit/aa,356,50,50
CD-HIT (AA),cdhit/aa,357,50,50
CD-HIT (AA),cdhit/aa,358,50,50
CD-HIT (AA),cdhit/aa,359,50,50
CD-HIT (AA),cdhit/aa,360,50,50
CD-HIT (AA),cdhit/aa,361,50,50
CD-HIT (AA),cdhit/aa,362,50,50
CD-HIT (AA),cdhit/aa,363,50,50
CD-HIT (AA),cdhit/aa,364,50,50
CD-HIT (AA),cdhit/aa,365,50,50
CD-HIT (AA),cdhit/aa,366,50,50
CD-HIT (AA),cdhit/aa,367,50,50
CD-HIT (AA),cdhit/aa,368,50,50
CD-HIT (AA),cdhit/aa,369,50,50
CD-HIT (AA),cdhit/aa,370,50,50
CD-HIT (AA),cdhit/aa,371,50,50
CD-HIT (AA),cdhit/aa,372,50,50
CD-HIT (AA),cdhit/aa,373,50,50
CD-HIT (AA),cdhit/aa,374,50,50
CD-HIT (AA),cdhit/aa,375,50,50
CD-HIT (AA),cdhit/aa,376,50,50
CD-HIT (AA),cdhit/aa,377,50,50
CD-HIT (AA),cdhit/aa,378,50,50
CD-HIT (AA),cdhit/aa,379,50,50
CD-HIT (AA),cdhit/aa,380,50,50
CD-HIT (AA),cdhit/aa,381,50,50
CD-HIT (AA),cdhit/aa,382,50,50
CD-HIT (AA),cdhit/aa,383,50,50
CD-HIT (AA),cdhit/aa,384,50,50
CD-HIT (AA),cdhit/aa,385,50,50
CD-HIT (AA),cdhit/aa,386,50,50
CD-HIT (AA),cdhit/aa,387,50,50
CD-HIT (AA),cdhit/aa,388,50,50
CD-HIT (AA),cdhit/aa,389,50,50
CD-HIT (AA),cdhit/aa,390,50,50
CD-HIT (AA),cdhit/aa,391,50,50
CD-HIT (AA),cdhit/aa,392,50,50
CD-HIT (AA),cdhit/aa,393,50,50
CD-HIT (AA),cdhit/aa,394,50,50
CD-HIT (AA),cdhit/aa,395,50,50
CD-HIT (AA),cdhit/aa,396,50,50
CD-HIT (AA),cdhit/aa,397,50,50
CD-HIT (AA),cdhit/aa,398,50,50
CD-HIT (AA),cdhit/aa,399,50,50
CD-HIT (AA),cdhit/aa,400,50,50
CD-HIT (AA),cdhit/aa,401,50,50
CD-HIT (AA),cdhit/aa,402,50,50
CD-HIT (AA),cdhit/aa,403,50,50
CD-HIT (AA),cdhit/aa,404,50,50
CD-HIT (AA),cdhit/aa,405,50,50
CD-HIT (AA),cdhit/aa,406,50,50
CD-HIT (AA),cdhit/aa,407,50,50
CD-HIT (AA),cdhit/aa,408,50,50
CD-HIT (AA),cdhit/aa,409,50,50
CD-HIT (AA),cdhit/aa,410,50,50
CD-HIT (AA),cdhit/aa,411,50,50
CD-HIT (AA),cdhit/aa,412,50,50
CD-HIT (AA),cdhit/aa,413,50,50
CD-HIT (AA),cdhit/aa,414,50,50
CD-HIT (AA),cdhit/aa,415,50,50
CD-HIT (AA),cdhit/aa,416,50,50
CD-HIT (AA),cdhit/aa,417,50,50
CD-HIT (AA),cdhit/aa,418,50,50
CD-HIT (AA),cdhit/aa,419,50,50
CD-HIT (AA),cdhit/aa,420,50,50
CD-HIT (AA),cdhit/aa,421,50,50
CD-HIT (AA),cdhit/aa,422,50,50
CD-HIT (AA),cdhit/aa,423,50,50
CD-HIT (AA),cdhit/aa,424,50,50
CD-HIT (AA),cdhit/aa,425,50,50
CD-HIT (AA),cdhit/aa,426,50,50
CD-HIT (AA),cdhit/aa,427,50,50
CD-HIT (AA),cdhit/aa,428,50,50
CD-HIT (AA),cdhit/aa,429,50,50
CD-HIT (AA),cdhit/aa,430,50,50
CD-HIT (AA),cdhit/aa,431,50,50
CD-HIT (AA),cdhit/aa,432,50,50
CD-HIT (AA),cdhit/aa,433,50,50
CD-HIT (AA),cdhit/aa,434,50,50
CD-HIT (AA),cdhit/aa,435,50,50
CD-HIT (AA),cdhit/aa,436,50,50
CD-HIT (AA),cdhit/aa,437,50,50
CD-HIT (AA),cdhit/aa,438,50,50
CD-HIT (AA),cdhit/aa,439,50,50
CD-HIT (AA),cdhit/aa,440,50,50
CD-HIT (AA),cdhit/aa,441,50,50
CD-HIT (AA),cdhit/aa,442,50,50
CD-HIT (AA),cdhit/aa,443,50,50
CD-HIT (AA),cdhit/aa,444,50,50
CD-HIT (AA),cdhit/aa,445,50,50
CD-HIT (AA),cdhit/aa,446,50,50
CD-HIT (AA),cdhit/aa,447,50,50
CD-HIT (AA),cdhit/aa,448,50,50
CD-HIT (AA),cdhit/aa,449,50,50
CD-HIT (AA),cdhit/aa,450,50,50
CD-HIT (AA),cdhit/aa,451,50,50
CD-HIT (AA),cdhit/aa,452,50,50
CD-HIT (AA),cdhit/aa,453,50,50
CD-HIT (AA),cdhit/aa,454,50,50
CD-HIT (AA),cdhit/aa,455,50,50
CD-HIT (AA),cdhit/aa,456,50,50
CD-HIT (AA),cdhit/aa,457,50,50
CD-HIT (AA),cdhit/aa,458,50,50
CD-HIT (AA),cdhit/aa,459,50,50
CD-HIT (AA),cdhit/aa,460,50,50
CD-HIT (AA),cdhit/aa,461,50,50
CD-HIT (AA),cdhit/aa,462,50,50
CD-HIT (AA),cdhit/aa,463,50,50
CD-HIT (AA),cdhit/aa,464,50,50
CD-HIT (AA),cdhit/aa,465,50,50
CD-HIT (AA),cdhit/aa,466,50,50
CD-HIT (AA),cdhit/aa,467,50,50
CD-HIT (AA),cdhit/aa,468,50,50
CD-HIT (AA),cdhit/aa,469,50,50
CD-HIT (AA),cdhit/aa,470,50,50
CD-HIT (AA),cdhit/aa,471,50,50
CD-HIT (AA),cdhit/aa,472,50,50
CD-HIT (AA),cdhit/aa,473,50,50
CD-HIT (AA),cdhit/aa,474,50,50
CD-HIT (AA),cdhit/aa,475,50,50
CD-HIT (AA),cdhit/aa,476,50,50
CD-HIT (AA),cdhit/aa,477,50,50
CD-HIT (AA),cdhit/aa,478,50,50
CD-HIT (AA),cdhit/aa,479,50,50
CD-HIT (AA),cdhit/aa,480,50,50
CD-HIT (AA),cdhit/aa,481,50,50
CD-HIT (AA),cdhit/aa,482,50,50
CD-HIT (AA),cdhit/aa,483,50,50
CD-HIT (AA),cdhit/aa,484,50,50
CD-HIT (AA),cdhit/aa,485,50,50
CD-HIT (AA),cdhit/aa,486,50,50
CD-HIT (AA),cdhit/aa,487,50,50
CD-HIT (AA),cdhit/aa,488,50,50
CD-HIT (AA),cdhit/aa,489,50,50
CD-HIT (AA),cdhit/aa,490,50,50
CD-HIT (AA),cdhit/aa,491,50,50
CD-HIT (AA),cdhit/aa,492,50,50
CD-HIT (AA),cdhit/aa,493,50,50
CD-HIT (AA),cdhit/aa,494,50,50
CD-HIT (AA),cdhit/aa,495,50,50
CD-HIT (AA),cdhit/aa,496,50,50
CD-HIT (AA),cdhit/aa,497,50,50
CD-HIT (AA),cdhit/aa,498,50,50
CD-HIT (AA),cdhit/aa,499,50,50
CD-HIT (AA),cdhit/aa,500,50,50
CD-HIT (AA),cdhit/aa,501,50,50
CD-HIT (AA),cdhit/aa,502,50,50
CD-HIT (AA),cdhit/aa,503,50,50
CD-HIT (AA),cdhit/aa,504,50,50
CD-HIT (AA),cdhit/aa,505,50,50
CD-HIT (AA),cdhit/aa,506,50,50
CD-HIT (AA),cdhit/aa,507,50,50
CD-HIT (AA),cdhit/aa,508,50,50
CD-HIT (AA),cdhit/aa,509,50,50
CD-HIT (AA),cdhit/aa,510,50,50
CD-HIT (AA),cdhit/aa,511,50,50
CD-HIT (AA),cdhit/aa,512,50,50
CD-HIT (AA),cdhit/aa,513,50,50
CD-HIT (AA),cdhit/aa,514,50,50
CD-HIT (AA),cdhit/aa,515,50,50
CD-HIT (AA),cdhit/aa,516,50,50
CD-HIT (AA),cdhit/aa,517,50,50
CD-HIT (AA),cdhit/aa,518,50,50
CD-HIT (AA),cdhit/aa,519,50,50
CD-HIT (AA),cdhit/aa,520,50,50
CD-HIT (AA),cdhit/aa,521,50,50
CD-HIT (AA),cdhit/aa,522,50,50
CD-HIT (AA),cdhit/aa,523,50,50
CD-HIT (AA),cdhit/aa,524,50,50
CD-HIT (AA),cdhit/aa,525,50,50
CD-HIT (AA),cdhit/aa,526,50,50
CD-HIT (AA),cdhit/aa,527,50,50
CD-HIT (AA),cdhit/aa,528,50,50
CD-HIT (AA),cdhit/aa,529,50,50
CD-HIT (AA),cdhit/aa,530,50,50
CD-HIT (AA),cdhit/aa,531,50,50
CD-HIT (AA),cdhit/aa,532,50,50
CD-HIT (AA),cdhit/aa,533,50,50
CD-HIT (AA),cdhit/aa,534,50,50
CD-HIT (AA),cdhit/aa,535,50,50
CD-HIT (AA),cdhit/aa,536,50,50
CD-HIT (AA),cdhit/aa,537,50,50
CD-HIT (AA),cdhit/aa,538,50,50
CD-HIT (AA),cdhit/aa,539,50,50
CD-HIT (AA),cdhit/aa,540,50,50
CD-HIT (AA),cdhit/aa,541,50,50
CD-HIT (AA),cdhit/aa,542,50,50
CD-HIT (AA),cdhit/aa,543,50,50
CD-HIT (AA),cdhit/aa,544,50,50
CD-HIT (AA),cdhit/aa,545,50,50
CD-HIT (AA),cdhit/aa,546,50,50
CD-HIT (AA),cdhit/aa,547,50,50
CD-HIT (AA),cdhit/aa,548,50,50
CD-HIT (AA),cdhit/aa,549,50,50
CD-HIT (AA),cdhit/aa,550,50,50
CD-HIT (AA),cdhit/aa,551,50,50
CD-HIT (AA),cdhit/aa,552,50,50
CD-HIT (AA),cdhit/aa,553,50,50
CD-HIT (AA),cdhit/aa,554,50,50
CD-HIT (AA),cdhit/aa,555,50,50
CD-HIT (AA),cdhit/aa,556,50,50
CD-HIT (AA),cdhit/aa,557,50,50
CD-HIT (AA),cdhit/aa,558,50,50
CD-HIT (AA),cdhit/aa,559,50,50
CD-HIT (AA),cdhit/aa,560,50,50
CD-HIT (AA),cdhit/aa,561,50,50
CD-HIT (AA),cdhit/aa,562,50,50
CD-HIT (AA),cdhit/aa,563,50,50
CD-HIT (AA),cdhit/aa,564,50,50
CD-HIT (AA),cdhit/aa,565,50,50
CD-HIT (AA),cdhit/aa,566,50,50
CD-HIT (AA),cdhit/aa,567,50,50
CD-HIT (AA),cdhit/aa,568,50,50
CD-HIT (AA),cdhit/aa,569,50,50
CD-HIT (AA),cdhit/aa,570,50,50
CD-HIT (AA),cdhit/aa,571,50,50
CD-HIT (AA),cdhit/aa,572,50,50
CD-HIT (AA),cdhit/aa,573,50,50
CD-HIT (AA),cdhit/aa,574,50,50
CD-HIT (AA),cdhit/aa,575,50,50
CD-HIT (AA),cdhit/aa,576,50,50
CD-HIT (AA),cdhit/aa,577,50,50
CD-HIT (AA),cdhit/aa,578,50,50
CD-HIT (AA),cdhit/aa,579,50,50
CD-HIT (AA),cdhit/aa,580,50,50
CD-HIT (AA),cdhit/aa,581,50,50
